STATE_FULL,HOSPITAL_NAME,BURN_BEDS
Oklahoma,OU Medical Center,0.0
Oregon,Asante Rogue Regional Medical Center,0.0
Oregon,Good Samaritan Regional Medical Center,0.0
California,Henry Mayo Newhall Hospital,0.0
California,Highland Hospital,0.0
California,Huntington Hospital,0.0
California,Inland Valley Medical Center,0.0
California,"John Muir Medical Center, Walnut Creek",0.0
Pennsylvania,Grand View Health,0.0
Pennsylvania,Guthrie Robert Packer Hospital,0.0
Pennsylvania,Jefferson Abington Health,0.0
Ohio,Mount Carmel East,0.0
Ohio,OhioHealth MedCentral Mansfield Hospital,0.0
Ohio,OhioHealth Riverside Methodist Hospital,0.0
Ohio,ProMedica Toledo Hospital/Russell J. Ebeid Children's Hospital,0.0
Ohio,Summa Akron City Hospital,0.0
California,UCSF Benioff Children's Hospital Oakland,0.0
California,Valley Children's Healthcare,0.0
California,Ventura County Medical Center ,0.0
California,Zuckerberg San Francisco General Hospital ,0.0
Colorado,Boulder Community Foothills Hospital,0.0
Alabama,Southeast Alabama Medical Center,0.0
Colorado,Children's Hospital of Colorado at Memorial,0.0
Wisconsin,Aspirus Wausau Hospital,0.0
Pennsylvania,St. Mary Medical Center,0.0
Pennsylvania,Thomas Jefferson University Hospital (Thomas Jefferson University Hospital Burn Center),0.0
