HOSPITAL_NAME,CITY,STATE_FULL,LATITUDE,LONGITUDE,nearest_burn_center,nearest_burn_distance_miles,distance_score
Guthrie Robert Packer Hospital,Sayre ,Pennsylvania,41.9805889,-76.5208075,Upstate University Hospital/Upstate Golisano Children's Hospital (Clark Burn Center),75.79067540054685,0.052942887054505616
St. Mary Medical Center,Langhorne ,Pennsylvania,,,,,
Grand View Health,Sellersville ,Pennsylvania,40.3624445,-75.3271409,Lehigh Valley Hospital-Cedar Crest/Lehigh Valley Reilly Children's Hospital (Lehigh Valley Health Network Regional Burn Center),17.338478827056818,0.01211163670710847
Conemaugh Memorial Medical Center,Johnstown ,Pennsylvania,40.3058405,-78.9182439,West Penn Hospital Burn Center,55.149801854193505,0.03852439254847786
Paoli Hospital,Paoli ,Pennsylvania,40.0444264,-75.5020241,Temple University Hospital (Temple Burn Center),18.7775081059066,0.01311685752320006
Penn State Health Holy Spirit Medical Center,Camp Hill,Pennsylvania,40.2535001,-76.9219094,Johns Hopkins Hospital (Johns Hopkins Pediatric Burn Center),68.37279450542316,0.047761193814027186
Penn State Milton S. Hershey Medical Center/Penn State Children's Hospital,Hershey,Pennsylvania,40.2637095,-76.6748222,Lehigh Valley Hospital-Cedar Crest/Lehigh Valley Reilly Children's Hospital (Lehigh Valley Health Network Regional Burn Center),64.12336918479662,0.044792796400921875
Crozer-Chester Medical Center (Nathan Speare Regional Burn Treatment Center),Chester,Pennsylvania,,,,,
UPMC Hamot,Erie ,Pennsylvania,42.1332512,-80.0875968,"Erie County Medical Center (Roger W. Seibel, MD, Burn Treatment Center)",84.19716613142134,0.05881516470524978
Geisinger Community Medical Center,Scranton ,Pennsylvania,41.4003994,-75.6466671,Lehigh Valley Hospital-Cedar Crest/Lehigh Valley Reilly Children's Hospital (Lehigh Valley Health Network Regional Burn Center),58.08904051208891,0.04057757098327606
Penn Medicine Lancaster General Hospital,Lancaster ,Pennsylvania,40.047535,-76.3042918,Johns Hopkins Bayview Medical Center (Johns Hopkins Adult Burn Center),53.82835552928315,0.03760130823555174
Lehigh Valley Hospital-Cedar Crest/Lehigh Valley Reilly Children's Hospital (Lehigh Valley Health Network Regional Burn Center),Allentown,Pennsylvania,40.5649685,-75.5218951,Lehigh Valley Hospital-Cedar Crest/Lehigh Valley Reilly Children's Hospital (Lehigh Valley Health Network Regional Burn Center),0.0,0.0
Geisinger Wyoming Valley Medical Center,Wilkes-Barre,Pennsylvania,,,,,
Jefferson Abington Health,Abington ,Pennsylvania,40.1196538,-75.120194,St. Christopher's Hospital for Children (Stuart J. Hulnick Burn Center),7.765412319987161,0.005424458156837857
Lankenau Medical Center,Wynnewood ,Pennsylvania,39.9881335,-75.2624226,Temple University Hospital (Temple Burn Center),6.025139265769827,0.004208806240998576
