HOSPITAL_NAME,CITY,STATE_FULL,adult_gap_flag,peds_gap_flag,dual_trauma_flag,priority_score
Silver Cross Hospital	,New Lenox,Illinois,1,0,0,2
Carle BroMenn Medical Center,Normal,Illinois,1,0,0,2
Advocate Christ Medical Center,Oak Lawn,Illinois,1,0,0,2
Advocate Lutheran General Hospital,Park Ridge,Illinois,1,0,0,2
UnityPoint Health - Methodist Hospital,Peoria,Illinois,1,0,0,2
Blessing Hospital,Quincy,Illinois,1,0,0,2
UnityPoint Health - Trinity Rock Island,Rock Island,Illinois,1,0,0,2
Mercyhealth Javon Bea Hospital - Riverside Campus,Rockford,Illinois,1,0,0,2
SwedishAmerican - A Division of UW Health,Rockford,Illinois,1,0,0,2
"Genesis Medical Center, Silvis",Silvis,Illinois,1,0,0,2
Carle Foundation Hospital	,Urbana,Illinois,1,0,0,2
Vista Medical Center East	,Waukegan,Illinois,1,0,0,2
Northwestern Medicine Central Dupage Hospital	,Winfield,Illinois,1,0,0,2
Deaconess Midtown Hospital,Evansville,Indiana,1,0,0,2
Indiana University Health Methodist Hospital,Indianapolis,Indiana,1,0,0,2
Memorial Hospital of South Bend,South Bend,Indiana,1,0,0,2
MercyOne Siouxland Medical Center,Sioux City,Iowa,1,0,0,2
Overland Park Regional Medical Center,Overland Park,Kansas,1,0,0,2
Stormont Vail Health,Topeka,Kansas,1,0,0,2
Norton Children's Hospital,Louisville,Kentucky,0,1,0,2
Pikeville Medical Center,Pikeville,Kentucky,1,0,0,2
Rapides Regional Medical Center - Alexandria,Alexandria,Louisiana,1,0,0,2
Our Lady of the Lake Regional Medical Center,Baton Rouge,Louisiana,1,0,0,2
Lakeview Regional Medical Center,Covington,Louisiana,1,0,0,2
North Oaks Medical Center,Hammond,Louisiana,1,0,0,2
Ochsner Lafayette General Medical Center,Lafayette,Louisiana,1,0,0,2
Northern Light Eastern Maine Medical Center,Bangor,Maine,1,0,0,2
Sinai Hospital of Baltimore,Baltimore,Maryland,1,0,0,2
Suburban Hospital,Bethesda,Maryland,1,0,0,2
Walter Reed National Military Medical Center,Bethesda,Maryland,1,0,0,2
University of Maryland Capital Region Medical Center,Cheverly,Maryland,1,0,0,2
Beth Israel Deaconess Medical Center,Boston,Massachusetts,1,0,0,2
Boston Children's Hospital,Boston,Massachusetts,0,1,0,2
"Lahey Hospital & Medical Center, Burlington",Burlington,Massachusetts,1,0,0,2
St. Luke's Hospital,New Bedford,Massachusetts,1,0,0,2
South Shore Hospital,South Weymouth,Massachusetts,1,0,0,2
Henry Ford Macomb Hospital,Clinton Township,Michigan,1,0,0,2
Beaumont Hospital - Dearborn,Dearborn,Michigan,1,0,0,2
DMC - Sinai-Grace Hospital,Detroit,Michigan,1,0,0,2
Henry Ford Hospital,Detroit,Michigan,1,0,0,2
Beaumont Hospital - Farmington Hills,Farmington Hills,Michigan,1,0,0,2
Ascension Genesys Hospital,Grand Blanc,Michigan,1,0,0,2
Mercy Health Saint Mary's,Grand Rapids,Michigan,1,0,0,2
Henry Ford Allegiance Health,Jackson,Michigan,1,0,0,2
Ascension Borgess Hospital,Kalamazoo,Michigan,1,0,0,2
Sparrow Hospital,Lansing,Michigan,1,0,0,2
McLaren Lapeer Region,Lapeer,Michigan,1,0,0,2
St. Mary Mercy Livonia Hospital,Livonia,Michigan,1,0,0,2
UP Health System-Marquette,Marquette,Michigan,1,0,0,2
MidMichigan Medical Center-Midland,Midland,Michigan,1,0,0,2
McLaren Macomb Hospital,Mount Clemens,Michigan,1,0,0,2
Mercy Health Muskegon,Muskegon,Michigan,1,0,0,2
"Providence Park Hospital, Novi Campus",Novi,Michigan,1,0,0,2
McLaren Northern Michigan,Petoskey,Michigan,1,0,0,2
McLaren Oakland,Pontiac,Michigan,1,0,0,2
St. Joseph Mercy Oakland,Pontiac,Michigan,1,0,0,2
Ascension St. Mary's of Michigan,Saginaw ,Michigan,1,0,0,2
"Ascension Providence Hospital, Southfield Campus",Southfield,Michigan,1,0,0,2
Munson Medical Center,Traverse City,Michigan,1,0,0,2
Beaumont Hospital - Trenton,Trenton,Michigan,1,0,0,2
Beaumont Hospital - Troy,Troy,Michigan,1,0,0,2
Metro Health - University of Michigan Health,Wyoming,Michigan,1,0,0,2
St. Joseph Mercy Ann Arbor,Ypsilanti,Michigan,1,0,0,2
Mercy Hospital,Coon Rapids,Minnesota ,1,0,0,2
St. Luke's Hospital,Duluth,Minnesota ,1,0,0,2
Children's Hospital and Clinics of Minnesota,Minneapolis,Minnesota ,0,1,0,2
University of Minnesota Medical Center,Minneapolis,Minnesota ,1,0,0,2
North Memorial Health Hospital,Robbinsdale,Minnesota ,1,0,0,2
